task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	51/ef2096	2107	bbduk (3)	COMPLETED	0	2025-07-15 18:22:13.596	3m 10s	2m 48s	487.6%	2.4 GB	47.8 GB	12.9 GB	13 GB
16	01/06466d	2108	raw_fastqc (3)	COMPLETED	0	2025-07-15 18:22:13.719	3m 39s	2m 51s	95.5%	257.4 MB	3.6 GB	1 GB	3.6 MB
17	1b/26fcc5	2109	bbduk (4)	COMPLETED	0	2025-07-15 18:24:03.534	2m 30s	2m 18s	420.7%	2.4 GB	48.7 GB	13.2 GB	13.2 GB
18	9f/bec2c2	2110	raw_fastqc (4)	COMPLETED	0	2025-07-15 18:24:03.630	4m 10s	3m 4s	92.2%	296.8 MB	3.5 GB	1 GB	3.5 MB
22	1e/178c31	2114	raw_multiqc	COMPLETED	0	2025-07-15 18:28:13.357	34.8s	11.7s	84.0%	112.8 MB	7.3 GB	49.7 MB	18.5 MB
19	55/30bb72	2111	trimmed_fastqc (3)	COMPLETED	0	2025-07-15 18:25:23.408	3m 56s	3m 20s	88.4%	276.2 MB	3.4 GB	1.1 GB	3.5 MB
20	f5/4c397c	2112	trimmed_fastqc (4)	COMPLETED	0	2025-07-15 18:26:33.689	4m 24s	4m 13s	84.5%	344.5 MB	3.5 GB	1.1 GB	3.5 MB
23	e0/b47d55	2121	trimmed_multiqc	COMPLETED	0	2025-07-15 18:30:58.512	2m 10s	1m 6s	14.3%	112.1 MB	10.3 GB	49.6 MB	18.5 MB
21	b0/732f47	2113	trinity	COMPLETED	0	2025-07-15 18:26:33.769	11h 19m 23s	11h 18m 57s	326.1%	123.3 GB	201.4 GB	886.6 GB	510.7 GB
24	51/346568	2187	transrate	COMPLETED	0	2025-07-16 05:45:58.753	1m 3s	23.9s	13.8%	78.4 MB	85.4 MB	39.8 MB	1.3 MB
25	62/8e2f83	2186	salmonIndex	COMPLETED	0	2025-07-16 05:45:57.875	1m 14s	35.9s	149.2%	154.4 MB	455.1 MB	974.7 MB	227.8 MB
31	03/ab281a	2192	salmonQuant (4)	COMPLETED	0	2025-07-16 05:47:13.915	1m 23s	54.4s	502.9%	585.2 MB	864.3 MB	1.2 GB	1.9 MB
30	3c/1a7f74	2190	salmonQuant (3)	COMPLETED	0	2025-07-16 05:47:12.949	2m 9s	58.3s	462.1%	513.8 MB	850.3 MB	1.2 GB	1.9 MB
28	6a/bfcbe0	2191	salmonQuant (1)	COMPLETED	0	2025-07-16 05:47:13.341	2m 9s	51.8s	466.6%	530.2 MB	850.3 MB	955.3 MB	1.9 MB
29	e5/6eba89	2193	salmonQuant (2)	COMPLETED	0	2025-07-16 05:47:14.178	2m 8s	48.7s	440.8%	531.1 MB	850.3 MB	941.6 MB	1.9 MB
27	04/6261ed	2188	transdecoder	COMPLETED	0	2025-07-16 05:45:59.874	7m 37s	6m 51s	100.8%	465.1 MB	10.4 GB	594.5 MB	236.6 MB
26	89/3d2690	2189	busco	COMPLETED	0	2025-07-16 05:46:00.725	17m 18s	16m 11s	147.0%	1.7 GB	125.9 GB	5.2 GB	2.8 GB
32	ea/069900	2194	eggNOG_mapper	COMPLETED	0	2025-07-16 05:53:37.696	15h 14m 3s	15h 13m 14s	99.0%	6.8 GB	9.9 GB	75.2 GB	513.5 MB
